Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
IXIC,2021-03-22,13278.78027,13455.63965,13278.78027,13377.54004,13377.54004,5302770000.0,13377.54004
IXIC,2021-03-23,13381.42969,13405.15039,13202.42969,13227.7002,13227.7002,5607860000.0,13227.7002
IXIC,2021-03-24,13289.24023,13292.91992,12961.34961,12961.88965,12961.88965,6184470000.0,12961.88965
IXIC,2021-03-25,12844.58008,13021.86035,12786.80957,12977.67969,12977.67969,5608640000.0,12977.67969
IXIC,2021-03-26,12996.03027,13149.54981,12878.71973,13138.73047,13138.73047,5195330000.0,13138.73047
IXIC,2021-03-29,13103.96973,13143.41016,12968.16016,13059.65039,13059.65039,4934000000.0,13059.65039
IXIC,2021-03-30,13008.79981,13075.75,12922.57031,13045.38965,13045.38965,4685320000.0,13045.38965
IXIC,2021-03-31,13122.57031,13325.54004,13118.37988,13246.87012,13246.87012,4980670000.0,13246.87012
IXIC,2021-04-01,13414.32031,13487.08008,13404.17969,13480.11035,13480.11035,4553470000.0,13480.11035
IXIC,2021-04-05,13594.90039,13720.58008,13582.75977,13705.58984,13705.58984,4439970000.0,13705.58984
IXIC,2021-04-06,13681.66992,13776.70996,13674.28027,13698.37988,13698.37988,4038510000.0,13698.37988
IXIC,2021-04-07,13675.29981,13733.03027,13653.58984,13688.83984,13688.83984,4078990000.0,13688.83984
IXIC,2021-04-08,13796.88965,13830.13965,13758.70996,13829.30957,13829.30957,4133640000.0,13829.30957
IXIC,2021-04-09,13787.01953,13905.41016,13748.34961,13900.19043,13900.19043,3906460000.0,13900.19043
IXIC,2021-04-12,13854.44043,13877.0,13783.9502,13850.0,13850.0,4230160000.0,13850.0
IXIC,2021-04-13,13902.4502,14011.50977,13902.4502,13996.09961,13996.09961,4200290000.0,13996.09961
IXIC,2021-04-14,14004.08008,14033.62988,13839.04004,13857.83984,13857.83984,4102380000.0,13857.83984
IXIC,2021-04-15,13983.23047,14049.12988,13970.41992,14038.75977,14038.75977,4382620000.0,14038.75977
IXIC,2021-04-16,14059.11035,14062.5,13977.04981,14052.33984,14052.33984,4414640000.0,14052.33984
IXIC,2021-04-19,13984.58008,14041.79004,13842.57031,13914.76953,13914.76953,4349340000.0,13914.76953
IXIC,2021-04-20,13894.45996,13927.66992,13698.66992,13786.26953,13786.26953,4229410000.0,13786.26953
IXIC,2021-04-21,13745.76953,13951.34961,13706.86035,13950.21973,13950.21973,3967090000.0,13950.21973
IXIC,2021-04-22,13952.57031,14015.87012,13771.04004,13818.41016,13818.41016,4397030000.0,13818.41016
IXIC,2021-04-23,13861.37012,14062.74023,13856.83008,14016.80957,14016.80957,4332500000.0,14016.80957
IXIC,2021-04-26,14052.37988,14154.03027,14019.5,14138.78027,14138.78027,4479480000.0,14138.78027
IXIC,2021-04-27,14170.91016,14171.24023,14064.28027,14090.21973,14090.21973,4665430000.0,14090.21973
IXIC,2021-04-28,14082.78027,14133.65039,14034.7002,14051.03027,14051.03027,4532050000.0,14051.03027
IXIC,2021-04-29,14204.50977,14211.57031,13952.79981,14082.54981,14082.54981,4854340000.0,14082.54981
IXIC,2021-04-30,13970.73047,14084.75977,13941.62988,13962.67969,13962.67969,4762770000.0,13962.67969
IXIC,2021-05-03,14031.76953,14042.12012,13881.50977,13895.12012,13895.12012,4718850000.0,13895.12012
IXIC,2021-05-04,13774.50977,13795.57031,13485.58984,13633.5,13633.5,5852850000.0,13633.5
IXIC,2021-05-05,13731.12988,13753.04981,13553.92969,13582.41992,13582.41992,4517100000.0,13582.41992
IXIC,2021-05-06,13557.83008,13635.73047,13439.38965,13632.83984,13632.83984,5000710000.0,13632.83984
IXIC,2021-05-07,13723.08984,13828.62012,13690.75,13752.24023,13752.24023,4376800000.0,13752.24023
IXIC,2021-05-10,13687.58984,13687.92969,13401.74023,13401.86035,13401.86035,4795690000.0,13401.86035
IXIC,2021-05-11,13115.84961,13423.30957,13107.66992,13389.42969,13389.42969,4719720000.0,13389.42969
IXIC,2021-05-12,13215.49023,13288.61035,13002.54004,13031.67969,13031.67969,4730740000.0,13031.67969
IXIC,2021-05-13,13150.94043,13247.87012,13007.24023,13124.99023,13124.99023,4681530000.0,13124.99023
IXIC,2021-05-14,13255.65039,13460.87988,13242.96973,13429.98047,13429.98047,4008110000.0,13429.98047
IXIC,2021-05-17,13368.79981,13399.16992,13265.40039,13379.04981,13379.04981,3980630000.0,13379.04981
IXIC,2021-05-18,13416.90039,13485.33984,13299.92969,13303.63965,13303.63965,4283680000.0,13303.63965
IXIC,2021-05-19,13078.19043,13304.61035,13072.23047,13299.74023,13299.74023,4314980000.0,13299.74023
IXIC,2021-05-20,13356.62988,13563.51953,13355.70996,13535.74023,13535.74023,3972730000.0,13535.74023
IXIC,2021-05-21,13616.19043,13616.58008,13463.25977,13470.99023,13470.99023,3704590000.0,13470.99023
IXIC,2021-05-24,13557.20996,13708.84961,13551.00977,13661.16992,13661.16992,3490650000.0,13661.16992
IXIC,2021-05-25,13721.54004,13751.13965,13631.79981,13657.16992,13657.16992,4084480000.0,13657.16992
IXIC,2021-05-26,13693.94043,13750.16016,13679.58984,13738.0,13738.0,4231140000.0,13738.0
IXIC,2021-05-27,13742.58984,13776.51953,13701.62988,13736.28027,13736.28027,5057550000.0,13736.28027
IXIC,2021-05-28,13792.04981,13820.87012,13747.61035,13748.74023,13748.74023,4435220000.0,13748.74023
000001.SS,2021-04-15,3409.610107,3409.610107,3373.090088,3398.98999,3398.98999,234000.0,543.8383984
000001.SS,2021-04-16,3407.189941,3432.629883,3394.129883,3426.620117,3426.620117,258600.0,548.25921872
000001.SS,2021-04-19,3427.550049,3479.01001,3414.360107,3477.550049,3477.550049,302700.0,556.40800784
000001.SS,2021-04-20,3467.149902,3494.300049,3463.459961,3472.939941,3472.939941,285300.0,555.67039056
000001.SS,2021-04-21,3456.300049,3481.25,3450.110107,3472.929932,3472.929932,253800.0,555.66878912
000001.SS,2021-04-22,3482.830078,3485.360107,3456.320068,3465.110107,3465.110107,251100.0,554.41761712
000001.SS,2021-04-23,3462.090088,3482.360107,3456.330078,3474.169922,3474.169922,249400.0,555.86718752
000001.SS,2021-04-26,3484.110107,3497.120117,3438.570068,3441.169922,3441.169922,277000.0,550.58718752
000001.SS,2021-04-27,3440.090088,3443.850098,3417.26001,3442.610107,3442.610107,253000.0,550.81761712
000001.SS,2021-04-28,3432.159912,3457.070068,3423.330078,3457.070068,3457.070068,247400.0,553.13121088
000001.SS,2021-04-29,3458.080078,3478.22998,3447.590088,3474.899902,3474.899902,276600.0,555.98398432
000001.SS,2021-04-30,3468.300049,3469.090088,3426.899902,3446.860107,3446.860107,312700.0,551.49761712
000001.SS,2021-05-06,3446.070068,3471.23999,3426.850098,3441.280029,3441.280029,310400.0,550.60480464
000001.SS,2021-05-07,3446.409912,3457.889893,3416.780029,3418.870117,3418.870117,353800.0,547.01921872
000001.SS,2021-05-10,3423.590088,3429.73999,3401.929932,3427.98999,3427.98999,374200.0,548.4783984000001
000001.SS,2021-05-11,3406.600098,3448.100098,3384.699951,3441.850098,3441.850098,350900.0,550.69601568
000001.SS,2021-05-12,3429.75,3466.370117,3428.389893,3462.75,3462.75,311400.0,554.04
000001.SS,2021-05-13,3432.139893,3448.02002,3418.379883,3429.540039,3429.540039,319300.0,548.72640624
000001.SS,2021-05-14,3436.090088,3490.639893,3422.560059,3490.379883,3490.379883,337000.0,558.46078128
000001.SS,2021-05-17,3490.409912,3530.51001,3490.139893,3517.620117,3517.620117,322100.0,562.81921872
000001.SS,2021-05-18,3520.649902,3529.01001,3510.860107,3529.01001,3529.01001,271300.0,564.6416016000001
000001.SS,2021-05-19,3521.110107,3521.110107,3503.820068,3510.959961,3510.959961,278300.0,561.7535937600001
000001.SS,2021-05-20,3500.879883,3517.73999,3486.070068,3506.939941,3506.939941,326000.0,561.11039056
